Temperature Sensor Dx/diagnostic message,Timestamp
"{'low': 0.0, 'normal': 0.0, 'high': 0.0}",2023-08-01T09:30:00+00:00
"{'low': 0.0, 'normal': 0.0, 'high': 0.0}",2023-08-01T10:01:00+00:00
"{'low': 0.0, 'normal': 0.0, 'high': 0.0}",2023-08-01T10:32:00+00:00
Temperature Sensor Dx/diagnostic message,Timestamp
"{'low': 0.0, 'normal': 0.0, 'high': 0.0}",2023-08-01T09:30:00+00:00
"{'low': 0.0, 'normal': 0.0, 'high': 0.0}",2023-08-01T10:01:00+00:00
"{'low': 0.0, 'normal': 0.0, 'high': 0.0}",2023-08-01T10:32:00+00:00
