Not Economizing When Unit Should Dx/diagnostic message,Timestamp
"{'low': 15.0, 'normal': 15.0, 'high': 15.0}",2023-08-01T10:00:00+00:00
"{'low': 15.0, 'normal': 15.0, 'high': 15.0}",2023-08-01T10:31:00+00:00
Not Economizing When Unit Should Dx/diagnostic message,Timestamp
"{'low': 15.0, 'normal': 15.0, 'high': 15.0}",2023-08-01T10:00:00+00:00
"{'low': 15.0, 'normal': 15.0, 'high': 15.0}",2023-08-01T10:31:00+00:00
Not Economizing When Unit Should Dx/diagnostic message,Timestamp
"{'low': 15.0, 'normal': 15.0, 'high': 15.0}",2023-08-01T10:00:00+00:00
"{'low': 15.0, 'normal': 15.0, 'high': 15.0}",2023-08-01T10:31:00+00:00
Not Economizing When Unit Should Dx/diagnostic message,Timestamp
"{'low': 15.0, 'normal': 15.0, 'high': 15.0}",2023-08-01T10:00:00+00:00
"{'low': 15.0, 'normal': 15.0, 'high': 15.0}",2023-08-01T10:31:00+00:00
Not Economizing When Unit Should Dx/diagnostic message,Timestamp
"{'low': 15.0, 'normal': 15.0, 'high': 15.0}",2023-08-01T10:00:00+00:00
"{'low': 15.0, 'normal': 15.0, 'high': 15.0}",2023-08-01T10:31:00+00:00
Not Economizing When Unit Should Dx/diagnostic message,Timestamp
"{'low': 15.0, 'normal': 15.0, 'high': 15.0}",2023-08-01T10:00:00+00:00
"{'low': 15.0, 'normal': 15.0, 'high': 15.0}",2023-08-01T10:31:00+00:00
Not Economizing When Unit Should Dx/diagnostic message,Timestamp
"{'low': 15.0, 'normal': 15.0, 'high': 15.0}",2023-08-01T10:00:00+00:00
"{'low': 15.0, 'normal': 15.0, 'high': 15.0}",2023-08-01T10:31:00+00:00
Not Economizing When Unit Should Dx/diagnostic message,Timestamp
"{'low': 15.0, 'normal': 15.0, 'high': 15.0}",2023-08-01T10:00:00+00:00
"{'low': 15.0, 'normal': 15.0, 'high': 15.0}",2023-08-01T10:31:00+00:00
