Economizing When Unit Should Not Dx/energy impact,Timestamp
"{'low': 0.0, 'normal': 0.0, 'high': 0.0}",2023-08-01T10:00:00+00:00
"{'low': 0.0, 'normal': 0.0, 'high': 0.0}",2023-08-01T10:31:00+00:00
Economizing When Unit Should Not Dx/energy impact,Timestamp
"{'low': 0.0, 'normal': 0.0, 'high': 0.0}",2023-08-01T10:00:00+00:00
"{'low': 0.0, 'normal': 0.0, 'high': 0.0}",2023-08-01T10:31:00+00:00
Economizing When Unit Should Not Dx/energy impact,Timestamp
"{'low': 0.0, 'normal': 0.0, 'high': 0.0}",2023-08-01T10:00:00+00:00
"{'low': 0.0, 'normal': 0.0, 'high': 0.0}",2023-08-01T10:31:00+00:00
Economizing When Unit Should Not Dx/energy impact,Timestamp
"{'low': 0.0, 'normal': 0.0, 'high': 0.0}",2023-08-01T10:00:00+00:00
"{'low': 0.0, 'normal': 0.0, 'high': 0.0}",2023-08-01T10:31:00+00:00
Economizing When Unit Should Not Dx/energy impact,Timestamp
"{'low': 0.0, 'normal': 0.0, 'high': 0.0}",2023-08-01T10:00:00+00:00
"{'low': 0.0, 'normal': 0.0, 'high': 0.0}",2023-08-01T10:31:00+00:00
Economizing When Unit Should Not Dx/energy impact,Timestamp
"{'low': 0.0, 'normal': 0.0, 'high': 0.0}",2023-08-01T10:00:00+00:00
"{'low': 0.0, 'normal': 0.0, 'high': 0.0}",2023-08-01T10:31:00+00:00
Economizing When Unit Should Not Dx/energy impact,Timestamp
"{'low': 0.0, 'normal': 0.0, 'high': 0.0}",2023-08-01T10:00:00+00:00
"{'low': 0.0, 'normal': 0.0, 'high': 0.0}",2023-08-01T10:31:00+00:00
Economizing When Unit Should Not Dx/energy impact,Timestamp
"{'low': 0.0, 'normal': 0.0, 'high': 0.0}",2023-08-01T10:00:00+00:00
"{'low': 0.0, 'normal': 0.0, 'high': 0.0}",2023-08-01T10:31:00+00:00
Economizing When Unit Should Not Dx/energy impact,Timestamp
"{'low': 0.0, 'normal': 0.0, 'high': 0.0}",2023-08-01T10:00:00+00:00
"{'low': 0.0, 'normal': 0.0, 'high': 0.0}",2023-08-01T10:31:00+00:00
Economizing When Unit Should Not Dx/energy impact,Timestamp
"{'low': 0.0, 'normal': 0.0, 'high': 0.0}",2023-08-01T10:00:00+00:00
"{'low': 0.0, 'normal': 0.0, 'high': 0.0}",2023-08-01T10:31:00+00:00
Economizing When Unit Should Not Dx/energy impact,Timestamp
"{'low': 0.0, 'normal': 0.0, 'high': 0.0}",2023-08-01T10:00:00+00:00
"{'low': 0.0, 'normal': 0.0, 'high': 0.0}",2023-08-01T10:31:00+00:00
Economizing When Unit Should Not Dx/energy impact,Timestamp
"{'low': 0.0, 'normal': 0.0, 'high': 0.0}",2023-08-01T10:00:00+00:00
"{'low': 0.0, 'normal': 0.0, 'high': 0.0}",2023-08-01T10:31:00+00:00
Economizing When Unit Should Not Dx/energy impact,Timestamp
"{'low': 0.0, 'normal': 0.0, 'high': 0.0}",2023-08-01T10:00:00+00:00
"{'low': 0.0, 'normal': 0.0, 'high': 0.0}",2023-08-01T10:31:00+00:00
Economizing When Unit Should Not Dx/energy impact,Timestamp
"{'low': 0.0, 'normal': 0.0, 'high': 0.0}",2023-08-01T10:00:00+00:00
"{'low': 0.0, 'normal': 0.0, 'high': 0.0}",2023-08-01T10:31:00+00:00
